soil_j_molkg,soil_i_molkg,feedstock_j_molkg,feedstock_i_molkg,rho_soil_tm3,rho_feedstock_tm3,d_mixed_layer_m,d_sample_m,v_sampled_layer_m3ha,a_assumed_tha,tau_assumed,v_feedstock_m3ha,v_soil_m3ha,m_soil_tha,rm,wf_j_molkg,rho_wf_tm3,wf_i_molkg,pre_weathering_mix_j_molkg,pre_weathering_mix_i_molkg,v_feedstock_end_m3ha,v_wf_end_m3ha,v_soil_end_m3ha,post_weathering_mix_j_molkg,post_weathering_mix_i_molkg,Xs_soil_contribution,Xf_feed_contribution,Xwf_weath_feed_contribution,tau_SOMBA_meta_non_simplified,application_amount_output_tha,pre_weathering_mix_output_i_molkg,pre_weathering_mix_output_j_molkg
0.4883268537230264,0.04969449714939523,4.120437976793316,0.25599248614586523,1.4623455807541406,1.7965230813264643,0.2,0.1,1000.0,154.59296881358668,0.5195130686055937,86.0512010229464,1913.9487989770537,2798.8545679737895,0.05234322495592584,0.5389169321034409,1.5308771091933357,0.34788353363127533,0.678443263302815,0.06049279919539258,41.346477522318715,44.704723500627686,1913.9487989770537,0.5812211018839223,0.06184143389961227,0.9569743994885268,0.020673238761159354,0.022352361750313854,0.5195130686055939,77.29648440679334,0.06049279919539258,0.6784432633028151
0.5410665321982802,0.049361983321020465,4.139537066790646,0.2347009581010388,1.4452467634555317,1.6575060742654377,0.2,0.1,1000.0,179.81390093054785,0.35928924277519503,108.48461053769384,1891.515389462306,2733.7064946467276,0.061717055835100856,0.5785257572976971,1.6192373767099502,0.2843057583417576,0.7631535391026825,0.060800559175939205,69.50725696484388,38.977353572849964,1891.515389462306,0.6842448218663404,0.06178658819843719,0.9457576947311531,0.0347536284824219,0.019488676786424967,0.35928924277519514,89.90695046527384,0.06080055917593919,0.7631535391026821
0.4871792880327619,0.05035201718959546,3.9578353650001836,0.2638407512161183,1.3764951756885067,1.844034856388767,0.2,0.1,1000.0,93.69095279438694,0.6729597122485034,50.80758233489413,1949.192417665106,2683.053959404635,0.03374128908376719,0.5249300568118821,1.5321358714455993,0.36278822321517445,0.6042836980360531,0.057555402280511855,16.616126346761632,34.191455988132496,1949.192417665106,0.5263397509001947,0.05863403068155399,0.974596208832553,0.00830806317338082,0.017095727994066254,0.6729597122485034,46.84547639719349,0.057555402280511855,0.6042836980360531
0.4876394364780196,0.049321243730121894,4.061058611791445,0.266158045363065,1.5902130565163901,1.8465458801672048,0.2,0.1,1000.0,194.30047125893492,0.16683212087110313,105.22374415161622,1894.7762558483837,3013.09794122734,0.0605788387568351,0.5397368633567388,1.6464546491684287,0.34614031316904537,0.7041130205099143,0.06245696537279179,87.66904374880374,17.554700402812472,1894.7762558483837,0.6686659909131404,0.0629551792535862,0.9473881279241918,0.0438345218744019,0.00877735020140624,0.16683212087110316,97.15023562946753,0.062456965372791794,0.7041130205099143
0.5125912866248283,0.049671178968826675,4.064104902769223,0.23948958666196185,1.5285253426621845,1.8045138738022943,0.2,0.1,1000.0,249.43023616179997,0.7691744665657283,138.22572371595297,1861.7742762840471,2845.7691636167137,0.0805861606782583,0.5642188711827912,1.7515888803591397,0.2900714564437469,0.7987941335464628,0.06496791567087681,31.906026411073103,106.31969730487987,1861.7742762840471,0.5818864569063859,0.06769895783425516,0.9308871381420236,0.01595301320553655,0.05315984865243993,0.7691744665657283,124.71511808089998,0.06496791567087681,0.7987941335464628
0.4735571456453319,0.047339038432468394,4.408803951407778,0.24642776781576503,1.555130154881113,1.8885145565328836,0.2,0.1,1000.0,56.34382928550592,0.8901990876046418,29.834998671626515,1970.1650013283736,3063.8630036571417,0.01805772254923511,0.5262298034565194,1.658413872707571,0.3250098191372448,0.5446187406265539,0.05093412747035171,3.2759100754588903,26.559088596167626,1970.1650013283736,0.48212009123765526,0.05166194990930172,0.9850825006641868,0.001637955037729437,0.013279544298083775,0.8901990876046421,28.171914642752874,0.05093412747035171,0.5446187406265537
0.45158102757276963,0.04609963799900455,3.845162981204055,0.2852282625374464,1.2748587435632783,1.910195392395606,0.2,0.1,1000.0,156.01130241250104,0.5716560165119661,81.6729550461562,1918.3270449538438,2445.596006273314,0.05996727557292616,0.5172359971097866,1.337780198707454,0.4512043458569424,0.655084891765486,0.06043953012407609,34.98411890770967,46.68883613844653,1918.3270449538438,0.5412480460570461,0.06213250021252157,0.9591635224769219,0.017492059453854836,0.023344418069223286,0.5716560165119663,78.00565120625055,0.06043953012407609,0.6550848917654861
0.5292951274709721,0.047166221647422714,4.481515396973893,0.24164185330263355,1.493698972679294,1.677695703878328,0.2,0.1,1000.0,245.9106283024218,0.5603536929961475,146.57641891431823,1853.4235810856817,2768.4568990072607,0.08157951081761307,0.5707717643878829,1.7857221165583959,0.26647686757671596,0.8517153237004753,0.06303144854380112,64.44178126952966,82.13463764478857,1853.4235810856817,0.6726421605291629,0.06476048776594048,0.9267117905428408,0.03222089063476482,0.0410673188223943,0.5603536929961476,122.9553141512109,0.0630314485438011,0.8517153237004751
0.5015016354071653,0.0439623730451606,4.099936235220364,0.2320392062592934,1.5747895853578482,1.9226656170480785,0.2,0.1,1000.0,240.45036060355147,0.7194840054408296,125.06093543854055,1874.9390645614594,2952.6345120519723,0.07530346677054699,0.5122136875258402,1.6272351864484316,0.3167122338509846,0.7724762357201851,0.05812521060541076,35.0815926850424,89.97934275349814,1874.9390645614594,0.5786477881814103,0.06058045126251295,0.9374695322807297,0.017540796342521196,0.044989671376749064,0.7194840054408296,120.22518030177571,0.05812521060541076,0.7724762357201849
0.5102624715330849,0.051516668000587885,4.012423934857036,0.25922923628730205,1.3760088318006893,1.8894251895562078,0.2,0.1,1000.0,118.86530970629168,0.7110156919316233,62.91083148637974,1937.0891685136203,2665.4518038601955,0.042691009988454494,0.5240857882581219,1.512515779835926,0.37069473690067606,0.6597732815450281,0.06038412732804353,18.1802431070977,44.73058837928204,1937.0891685136203,0.5540698996157237,0.06189774524066499,0.9685445842568101,0.009090121553548845,0.022365294189641047,0.7110156919316236,59.432654853145884,0.060384127328043546,0.6597732815450282
